 : 1190327 occurence
S000_N300 : 1 occurence
L600_C623 : 1 occurence
L510_E530 : 1 occurence
R523 : 17 occurence
G520_P425 : 1 occurence
A632_S362 : 1 occurence
E236_M634_A160 : 1 occurence
D654_I633 : 1 occurence
O625_C520 : 1 occurence
P600_M525 : 1 occurence
U133_H640 : 1 occurence
G300_G630 : 2 occurence
M300_I521_A230 : 1 occurence
M564_A630 : 1 occurence
P000_C260 : 1 occurence
A261_F300 : 1 occurence
G612_W230 : 1 occurence
I252_H630_D220 : 1 occurence
S600_L000_P450 : 1 occurence
S420_P500 : 1 occurence
M500_F362_B200 : 1 occurence
M200_U524_F200 : 1 occurence
L230_S100 : 1 occurence
D240_M252 : 1 occurence
W300_P160_T400 : 1 occurence
Y314 : 1 occurence
W630_L360 : 1 occurence
C535_S416 : 1 occurence
D231_C513 : 1 occurence
M500_H620 : 1 occurence
L650_P626 : 1 occurence
T200_E163 : 1 occurence
O636_S620 : 1 occurence
T140_L550 : 1 occurence
G430_F400 : 1 occurence
B636_T630 : 1 occurence
T340 : 7 occurence
P300_O500_A262 : 1 occurence
S310 : 20 occurence
D230_M300 : 1 occurence
H550_I525 : 1 occurence
W650_G600 : 1 occurence
A230_B360_P200 : 1 occurence
P630_O100_F300 : 1 occurence
W536_D162 : 1 occurence
G100_I510 : 1 occurence
R431_H533 : 1 occurence
A554_L100 : 1 occurence
C460_C523 : 1 occurence
A233_V400 : 1 occurence
D223_F650 : 1 occurence
S560_W360 : 1 occurence
D265_P623 : 1 occurence
F630_P330 : 1 occurence
J500_M230 : 3 occurence
S433_T100 : 1 occurence
C552_P625 : 1 occurence
E123_P340 : 1 occurence
M626_C463 : 1 occurence
L130_C215 : 1 occurence
T100_P626 : 1 occurence
C532_A625 : 1 occurence
C556_S330 : 1 occurence
D652_A000_L300_O100_W360 : 1 occurence
W300_G610 : 1 occurence
C253_P224 : 1 occurence
F656_C430_P632 : 1 occurence
S240_P652 : 1 occurence
C160_R254 : 1 occurence
M200_D236_A153 : 1 occurence
W420_P230_H632 : 1 occurence
T654_M352 : 1 occurence
V623_T400 : 1 occurence
T500_B636 : 1 occurence
C536_A300 : 1 occurence
V160 : 3 occurence
P360_B420 : 1 occurence
D365_T630 : 1 occurence
I532_A554_B420 : 1 occurence
C230_P632 : 2 occurence
M534_H500 : 1 occurence
E635_P300 : 1 occurence
H622 : 8 occurence
T000_C600 : 1 occurence
A520 : 18 occurence
F450_S140 : 1 occurence
G342_C552 : 1 occurence
D460_C500 : 1 occurence
N651 : 1 occurence
N450_C623 : 1 occurence
R223_I514 : 1 occurence
G536_S100 : 3 occurence
T130 : 11 occurence
D523_A120 : 1 occurence
C620_P430 : 1 occurence
D600_M246_D256 : 1 occurence
M260 : 20 occurence
C100_T651 : 1 occurence
G300_U100_E640 : 1 occurence
H612_A235 : 1 occurence
S600_W635 : 1 occurence
M520_A623 : 1 occurence
I500_P651 : 1 occurence
P612_S500 : 2 occurence
P455_I523_R310 : 1 occurence
E520_C515 : 1 occurence
M600_I000 : 1 occurence
H361_A525 : 1 occurence
E522_A562 : 1 occurence
C516_P620 : 1 occurence
C436_H163 : 1 occurence
U536_M523 : 1 occurence
E300_D263 : 1 occurence
N200_M323 : 1 occurence
R262_D150 : 1 occurence
G000_T000_S552_P400 : 1 occurence
T620_S635 : 1 occurence
U521 : 53 occurence
T630_T500 : 1 occurence
K350_D220 : 1 occurence
P600_D423 : 1 occurence
R121_T623 : 1 occurence
O135_V000 : 1 occurence
S463_S120 : 1 occurence
A234_R420 : 1 occurence
T520_O100 : 1 occurence
D600_S350 : 1 occurence
B000_R520 : 1 occurence
C100_T600 : 1 occurence
N000_P252_T655 : 1 occurence
B200_S650 : 1 occurence
I525_B340 : 1 occurence
F540_S145 : 1 occurence
S254_R514 : 1 occurence
P510_B430 : 1 occurence
G636_F421 : 1 occurence
C300_L130 : 2 occurence
F400_S600 : 1 occurence
O545_B252 : 1 occurence
S133_S520 : 1 occurence
J100_D550 : 1 occurence
M560_L200 : 2 occurence
F420_B452 : 1 occurence
C512_P436 : 1 occurence
B400_A400_C536 : 1 occurence
F400_T630 : 1 occurence
E612 : 1 occurence
E532_P242 : 1 occurence
M230_S540 : 1 occurence
R262_A630 : 1 occurence
S560_G534 : 1 occurence
E640_H553 : 1 occurence
O360_L600 : 1 occurence
R324_I531 : 1 occurence
T560_P626 : 1 occurence
R210_G130 : 1 occurence
P614 : 45 occurence
B616_Q633 : 1 occurence
P420_F620_C610 : 1 occurence
D620_H600 : 2 occurence
M555_O232_I513 : 1 occurence
E512 : 14 occurence
H361_S235 : 1 occurence
B433_K510 : 1 occurence
R200_H200 : 2 occurence
R340_A221 : 1 occurence
R320_P520 : 1 occurence
E513_P420 : 1 occurence
